SKU;product_sold;date;quantity;unit_price;total_price;currency;site;discount_coupon;discount_value;buyer_birth_date;buyer_name;delivery_country;invoice_id
SKU-35XX01;NEW MEGANIUM RG35XX;03/09/2024;2;90;180;GBP;AliExpress;COUPONNRpQv;52.47;20/10/1974;Timothy Flowers;Australia;a133114a-6d3b-44ac-a588-04028820762a
SKU-28XX01;NEW MEGANIUM RG28XX;16/10/2024;1;70;70;USD;AliExpress;COUPONSSJQZ;6.71;30/06/1991;Brandy King;Australia;96c63b78-fcd8-45c7-a086-001ec19f1c13
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;02/10/2024;4;80;320;USD;AliExpress;COUPONWBhjX;29.84;17/09/1976;Louis Davis;Australia;4f24b99e-5627-4478-ad5f-ed7b79cfa2a8
SKU-35XX01;NEW MEGANIUM RG35XX;10/08/2024;4;90;360;GBP;AliExpress;COUPONvRzLS;78.12;22/11/2000;Andrew Miller;UK;2d6b5daf-d8a8-4714-aa57-59bb89d589a3
SKU-40XXV01;NEW MEGANIUM RG 40XXV;18/05/2024;5;100;500;USD;AliExpress;COUPONRbjRy;46.51;22/05/1986;Andrew Moreno;Germany;a856dbb2-cb42-42fd-b071-df636493a294
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;29/09/2024;1;80;80;GBP;AliExpress;COUPONyRpkm;4.26;13/12/1986;Andrea Morton;Australia;54f3a6b2-7bfd-4c76-b44c-8bdfea36e959
SKU-28XX01;NEW MEGANIUM RG28XX;21/08/2024;4;70;280;USD;AliExpress;COUPONIbCSB;80.49;12/03/1971;Amanda Smith;Germany;804629b7-9a23-44b5-95bf-27cbabb6be72
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;11/09/2024;2;80;160;GBP;AliExpress;COUPONmRAbK;14.76;27/07/1988;Danielle Adams;Germany;48a8cc40-74b4-42a9-8cd2-99e2fe4119a7
SKU-40XXV01;NEW MEGANIUM RG 40XXV;22/09/2024;1;100;100;EUR;AliExpress;COUPONZxqyW;9.66;21/08/1978;Allison Clark;Germany;8d620c49-ca3b-4e79-8490-ef039091851a
SKU-28XX01;NEW MEGANIUM RG28XX;18/09/2024;4;70;280;GBP;AliExpress;COUPONvsBhY;42.13;03/02/1993;Eric Mcfarland;Canada;2f147605-e7f6-4c75-bd18-a6e51104c351
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;08/08/2024;1;80;80;EUR;AliExpress;COUPONlyvTS;4.16;04/01/1981;Ian Moore;USA;45d22ce4-d4cb-4347-833c-11835d381dd9
SKU-35XX01;NEW MEGANIUM RG35XX;16/10/2024;4;90;360;USD;AliExpress;COUPONiMelE;105.86;05/02/1974;Ryan Ortega;France;aeec3d2c-24f9-45ec-bf71-c98ec841d29a
SKU-40XXV01;NEW MEGANIUM RG 40XXV;08/09/2024;4;100;400;GBP;AliExpress;COUPONiBxSC;31.22;05/06/1971;Christopher Owens;France;304359a2-072e-4ed4-94c7-ee184e89f1c7
SKU-353M01;MEGANIUM RG353M;16/08/2024;3;110;330;USD;AliExpress;COUPONEDxrS;37.67;16/12/1977;Samantha Turner;UK;9a96b321-ec25-4955-9d9b-13d6044e2650
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;22/06/2024;4;80;320;EUR;AliExpress;COUPONLqfwV;26.25;01/07/1966;Jose Campbell;France;74d67107-3bb7-4f50-b862-62dc67691b9c
SKU-353M01;MEGANIUM RG353M;07/08/2024;3;110;330;EUR;AliExpress;COUPONmQKZS;36.51;12/12/1985;Valerie Combs;USA;dfd3e6f6-d6e9-43ff-9e8e-d175de4206bf
SKU-353M01;MEGANIUM RG353M;02/07/2024;3;110;330;USD;AliExpress;COUPONGVjyZ;89.46;31/03/1989;Charles Alvarado;Germany;327ef30d-a41d-4d4e-8883-4c170ab4a750
SKU-35XX01;NEW MEGANIUM RG35XX;23/07/2024;3;90;270;EUR;AliExpress;COUPONsSnmd;15.56;29/01/2005;Shane Russell;France;a737b5c3-75b6-427e-8d50-63d14f22ef55
SKU-28XX01;NEW MEGANIUM RG28XX;07/10/2024;4;70;280;USD;AliExpress;COUPONAwQoA;15.48;04/01/1988;James Owens;Canada;f29363aa-8a73-4ee4-a9cb-456d7ef74193
SKU-35XX01;NEW MEGANIUM RG35XX;21/08/2024;1;90;90;GBP;AliExpress;COUPONFdugR;21.56;21/09/1995;Anthony Villanueva;France;21adf522-f705-4417-9d6e-ceadfd13b25f
SKU-40XXV01;NEW MEGANIUM RG 40XXV;25/09/2024;5;100;500;GBP;Shopee;COUPONudNFF;86.97;11/01/1977;Caitlin Hampton;Canada;c9004617-7380-4423-8308-61000d7476d6
SKU-35XX01;NEW MEGANIUM RG35XX;20/08/2024;2;90;180;USD;Shopee;COUPONwKSYr;52.45;18/04/1985;Kristen Murphy;Canada;97963f60-5c5e-4a43-b82f-ac7b4af9b836
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;30/10/2024;5;80;400;EUR;Shopee;COUPONPomKJ;91.5;11/05/2000;Emily Caldwell;France;0ad4ad4c-8340-4049-9f12-7e9c7b31d0ba
SKU-40XXV01;NEW MEGANIUM RG 40XXV;29/09/2024;2;100;200;USD;Shopee;COUPONFMOPN;38.84;20/12/1973;Elizabeth Adams;Japan;e56075d8-7299-493a-bb4d-000159e2c2ed
SKU-353M01;MEGANIUM RG353M;11/09/2024;1;110;110;GBP;Shopee;COUPONKlEUV;24.29;19/05/1976;Cheryl Newman;Japan;023f2324-7bcd-4839-b056-9ff3524574ea
SKU-28XX01;NEW MEGANIUM RG28XX;27/07/2024;3;70;210;GBP;Shopee;COUPONZRbxY;59.63;09/11/1987;Janice Davis;France;e12a185d-82b1-447e-9e7d-fe0d1de8007c
